seed_set,mean jaccard
0000088_key0.0_5,1.0
0000088_key0.0_10,0.9760536635706915
0000088_key0.0_15,0.9410280445954787
0000088_key0.0_20,0.9308677839937388
0000088_key0.0_25,0.9425459293413635
0000088_key0.0_30,0.9521705866054277
0000088_key0.1_5,1.0
0000088_key0.1_10,0.9760536635706915
0000088_key0.1_15,0.9669276336076096
0000088_key0.1_20,0.9586992226171366
0000088_key0.1_25,1.0
0000088_key0.1_30,1.0
0000088_key0.2_5,1.0
0000088_key0.2_10,0.9676388292789786
0000088_key0.2_15,1.0
0000088_key0.2_20,0.9684210526315774
0000088_key0.2_25,1.0
0000088_key0.2_30,1.0
0000088_key0.3_5,0.9970588235294116
0000088_key0.3_10,1.0
0000088_key0.3_15,1.0
0000088_key0.3_20,1.0
0000088_key0.3_25,1.0
0000088_key0.3_30,1.0
0000088_key0.4_5,0.9970588235294116
0000088_key0.4_10,0.9684210526315774
0000088_key0.4_15,1.0
0000088_key0.4_20,1.0
0000088_key0.4_25,1.0
0000088_key0.4_30,1.0
0000088_key0.5_5,1.0
0000088_key0.5_10,1.0
0000088_key0.5_15,1.0
0000088_key0.5_20,1.0
0000088_key0.5_25,1.0
0000088_key0.5_30,1.0
0000088_key0.6_5,1.0
0000088_key0.6_10,1.0
0000088_key0.6_15,1.0
0000088_key0.6_20,1.0
0000088_key0.6_25,1.0
0000088_key0.6_30,1.0
0000088_key0.7_5,0.9823157894736849
0000088_key0.7_10,1.0
0000088_key0.7_15,1.0
0000088_key0.7_20,1.0
0000088_key0.7_25,1.0
0000088_key0.7_30,1.0
0000088_key0.8_5,0.9823157894736849
0000088_key0.8_10,1.0
0000088_key0.8_15,1.0
0000088_key0.8_20,1.0
0000088_key0.8_25,1.0
0000088_key0.8_30,1.0
0000088_key0.9_5,1.0
0000088_key0.9_10,1.0
0000088_key0.9_15,1.0
0000088_key0.9_20,1.0
0000088_key0.9_25,1.0
0000088_key0.9_30,1.0
0000248_key0.0_5,1.0
0000248_key0.0_10,1.0
0000248_key0.0_15,1.0
0000248_key0.0_20,1.0
0000248_key0.0_25,1.0
0000248_key0.0_30,1.0
0000248_key0.1_5,1.0
0000248_key0.1_10,1.0
0000248_key0.1_15,1.0
0000248_key0.1_20,1.0
0000248_key0.1_25,1.0
0000248_key0.1_30,1.0
0000248_key0.2_5,1.0
0000248_key0.2_10,1.0
0000248_key0.2_15,1.0
0000248_key0.2_20,1.0
0000248_key0.2_25,1.0
0000248_key0.2_30,1.0
0000248_key0.3_5,1.0
0000248_key0.3_10,1.0
0000248_key0.3_15,1.0
0000248_key0.3_20,1.0
0000248_key0.3_25,1.0
0000248_key0.3_30,1.0
0000248_key0.4_5,1.0
0000248_key0.4_10,1.0
0000248_key0.4_15,1.0
0000248_key0.4_20,1.0
0000248_key0.4_25,1.0
0000248_key0.4_30,1.0
0000248_key0.5_5,1.0
0000248_key0.5_10,1.0
0000248_key0.5_15,1.0
0000248_key0.5_20,1.0
0000248_key0.5_25,1.0
0000248_key0.5_30,1.0
0000248_key0.6_5,1.0
0000248_key0.6_10,1.0
0000248_key0.6_15,1.0
0000248_key0.6_20,1.0
0000248_key0.6_25,1.0
0000248_key0.6_30,1.0
0000248_key0.7_5,1.0
0000248_key0.7_10,1.0
0000248_key0.7_15,1.0
0000248_key0.7_20,1.0
0000248_key0.7_25,1.0
0000248_key0.7_30,1.0
0000248_key0.8_5,1.0
0000248_key0.8_10,1.0
0000248_key0.8_15,1.0
0000248_key0.8_20,1.0
0000248_key0.8_25,1.0
0000248_key0.8_30,1.0
0000248_key0.9_5,1.0
0000248_key0.9_10,1.0
0000248_key0.9_15,1.0
0000248_key0.9_20,1.0
0000248_key0.9_25,1.0
0000248_key0.9_30,1.0
0000328_key0.0_5,0.894912330420668
0000328_key0.0_10,0.8145515388066698
0000328_key0.0_15,0.8433092091595646
0000328_key0.0_20,0.8463002913548208
0000328_key0.0_25,0.8561582420546023
0000328_key0.0_30,0.8448511744945646
0000328_key0.1_5,0.894912330420668
0000328_key0.1_10,0.8145515388066698
0000328_key0.1_15,0.8845871693586363
0000328_key0.1_20,0.8719951456474321
0000328_key0.1_25,0.9564936287077844
0000328_key0.1_30,0.9564936287077844
0000328_key0.2_5,0.894912330420668
0000328_key0.2_10,0.8828926090021696
0000328_key0.2_15,0.9197764710922601
0000328_key0.2_20,0.9139337578395739
0000328_key0.2_25,1.0
0000328_key0.2_30,0.9657120743034042
0000328_key0.3_5,0.9480947668316081
0000328_key0.3_10,0.9197764710922601
0000328_key0.3_15,0.9684210526315785
0000328_key0.3_20,0.9428328173374603
0000328_key0.3_25,0.9821052631578947
0000328_key0.3_30,0.9857142857142861
0000328_key0.4_5,0.9480947668316081
0000328_key0.4_10,0.9139337578395739
0000328_key0.4_15,0.9428328173374603
0000328_key0.4_20,0.9463157894736846
0000328_key0.4_25,0.950371120107961
0000328_key0.4_30,0.9596889952153101
0000328_key0.5_5,0.9442219679633878
0000328_key0.5_10,0.9684210526315785
0000328_key0.5_15,0.9463157894736846
0000328_key0.5_20,0.8328241933505092
0000328_key0.5_25,0.7842071086807922
0000328_key0.5_30,0.9342105263157904
0000328_key0.6_5,0.9442219679633878
0000328_key0.6_10,0.9428328173374603
0000328_key0.6_15,0.8744360902255646
0000328_key0.6_20,0.8397129186602869
0000328_key0.6_25,0.9684210526315795
0000328_key0.6_30,1.0
0000328_key0.7_5,0.9262300488062254
0000328_key0.7_10,0.9642105263157897
0000328_key0.7_15,0.8633971291866024
0000328_key0.7_20,0.7914786967418548
0000328_key0.7_25,1.0
0000328_key0.7_30,1.0
0000328_key0.8_5,0.9262300488062254
0000328_key0.8_10,0.9463157894736846
0000328_key0.8_15,0.8397129186602869
0000328_key0.8_20,1.0
0000328_key0.8_25,1.0
0000328_key0.8_30,1.0
0000328_key0.9_5,0.9684210526315785
0000328_key0.9_10,0.8744360902255646
0000328_key0.9_15,0.7914786967418548
0000328_key0.9_20,1.0
0000328_key0.9_25,1.0
0000328_key0.9_30,1.0
0000507_key0.0_5,1.0
0000507_key0.0_10,1.0
0000507_key0.0_15,1.0
0000507_key0.0_20,1.0
0000507_key0.0_25,1.0
0000507_key0.0_30,1.0
0000507_key0.1_5,1.0
0000507_key0.1_10,1.0
0000507_key0.1_15,1.0
0000507_key0.1_20,1.0
0000507_key0.1_25,1.0
0000507_key0.1_30,1.0
0000507_key0.2_5,1.0
0000507_key0.2_10,1.0
0000507_key0.2_15,1.0
0000507_key0.2_20,1.0
0000507_key0.2_25,1.0
0000507_key0.2_30,1.0
0000507_key0.3_5,1.0
0000507_key0.3_10,1.0
0000507_key0.3_15,1.0
0000507_key0.3_20,1.0
0000507_key0.3_25,1.0
0000507_key0.3_30,1.0
0000507_key0.4_5,1.0
0000507_key0.4_10,1.0
0000507_key0.4_15,1.0
0000507_key0.4_20,1.0
0000507_key0.4_25,1.0
0000507_key0.4_30,1.0
0000507_key0.5_5,1.0
0000507_key0.5_10,1.0
0000507_key0.5_15,1.0
0000507_key0.5_20,1.0
0000507_key0.5_25,1.0
0000507_key0.5_30,1.0
0000507_key0.6_5,1.0
0000507_key0.6_10,1.0
0000507_key0.6_15,1.0
0000507_key0.6_20,1.0
0000507_key0.6_25,1.0
0000507_key0.6_30,1.0
0000507_key0.7_5,1.0
0000507_key0.7_10,1.0
0000507_key0.7_15,1.0
0000507_key0.7_20,1.0
0000507_key0.7_25,1.0
0000507_key0.7_30,1.0
0000507_key0.8_5,1.0
0000507_key0.8_10,1.0
0000507_key0.8_15,1.0
0000507_key0.8_20,1.0
0000507_key0.8_25,1.0
0000507_key0.8_30,1.0
0000507_key0.9_5,1.0
0000507_key0.9_10,1.0
0000507_key0.9_15,1.0
0000507_key0.9_20,1.0
0000507_key0.9_25,1.0
0000507_key0.9_30,1.0
0001341_key0.0_5,1.0
0001341_key0.0_10,1.0
0001341_key0.0_15,1.0
0001341_key0.0_20,1.0
0001341_key0.0_25,1.0
0001341_key0.0_30,1.0
0001341_key0.1_5,1.0
0001341_key0.1_10,1.0
0001341_key0.1_15,1.0
0001341_key0.1_20,1.0
0001341_key0.1_25,1.0
0001341_key0.1_30,1.0
0001341_key0.2_5,1.0
0001341_key0.2_10,1.0
0001341_key0.2_15,1.0
0001341_key0.2_20,1.0
0001341_key0.2_25,1.0
0001341_key0.2_30,1.0
0001341_key0.3_5,1.0
0001341_key0.3_10,1.0
0001341_key0.3_15,1.0
0001341_key0.3_20,1.0
0001341_key0.3_25,1.0
0001341_key0.3_30,1.0
0001341_key0.4_5,1.0
0001341_key0.4_10,1.0
0001341_key0.4_15,1.0
0001341_key0.4_20,1.0
0001341_key0.4_25,1.0
0001341_key0.4_30,1.0
0001341_key0.5_5,1.0
0001341_key0.5_10,1.0
0001341_key0.5_15,1.0
0001341_key0.5_20,1.0
0001341_key0.5_25,1.0
0001341_key0.5_30,1.0
0001341_key0.6_5,1.0
0001341_key0.6_10,1.0
0001341_key0.6_15,1.0
0001341_key0.6_20,1.0
0001341_key0.6_25,1.0
0001341_key0.6_30,1.0
0001341_key0.7_5,1.0
0001341_key0.7_10,1.0
0001341_key0.7_15,1.0
0001341_key0.7_20,1.0
0001341_key0.7_25,1.0
0001341_key0.7_30,1.0
0001341_key0.8_5,1.0
0001341_key0.8_10,1.0
0001341_key0.8_15,1.0
0001341_key0.8_20,1.0
0001341_key0.8_25,1.0
0001341_key0.8_30,1.0
0001341_key0.9_5,1.0
0001341_key0.9_10,1.0
0001341_key0.9_15,1.0
0001341_key0.9_20,1.0
0001341_key0.9_25,1.0
0001341_key0.9_30,1.0
0001744_key0.0_5,0.9504939033801515
0001744_key0.0_10,1.0
0001744_key0.0_15,1.0
0001744_key0.0_20,1.0
0001744_key0.0_25,1.0
0001744_key0.0_30,1.0
0001744_key0.1_5,0.9504939033801515
0001744_key0.1_10,1.0
0001744_key0.1_15,1.0
0001744_key0.1_20,1.0
0001744_key0.1_25,1.0
0001744_key0.1_30,1.0
0001744_key0.2_5,0.9504939033801515
0001744_key0.2_10,1.0
0001744_key0.2_15,1.0
0001744_key0.2_20,0.9394979757085007
0001744_key0.2_25,0.8991228070175455
0001744_key0.2_30,1.0
0001744_key0.3_5,0.9504939033801515
0001744_key0.3_10,1.0
0001744_key0.3_15,0.8991228070175455
0001744_key0.3_20,1.0
0001744_key0.3_25,1.0
0001744_key0.3_30,1.0
0001744_key0.4_5,0.9504939033801515
0001744_key0.4_10,0.9394979757085007
0001744_key0.4_15,1.0
0001744_key0.4_20,1.0
0001744_key0.4_25,1.0
0001744_key0.4_30,1.0
0001744_key0.5_5,0.9504939033801515
0001744_key0.5_10,0.8991228070175455
0001744_key0.5_15,1.0
0001744_key0.5_20,1.0
0001744_key0.5_25,1.0
0001744_key0.5_30,1.0
0001744_key0.6_5,0.9504939033801515
0001744_key0.6_10,1.0
0001744_key0.6_15,1.0
0001744_key0.6_20,1.0
0001744_key0.6_25,1.0
0001744_key0.6_30,1.0
0001744_key0.7_5,0.9220672896897165
0001744_key0.7_10,1.0
0001744_key0.7_15,1.0
0001744_key0.7_20,1.0
0001744_key0.7_25,1.0
0001744_key0.7_30,1.0
0001744_key0.8_5,0.9220672896897165
0001744_key0.8_10,1.0
0001744_key0.8_15,1.0
0001744_key0.8_20,1.0
0001744_key0.8_25,1.0
0001744_key0.8_30,1.0
0001744_key0.9_5,0.9209695290858718
0001744_key0.9_10,1.0
0001744_key0.9_15,1.0
0001744_key0.9_20,1.0
0001744_key0.9_25,1.0
0001744_key0.9_30,1.0
0001751_key0.0_5,0.9959879206212241
0001751_key0.0_10,0.9841542301684609
0001751_key0.0_15,0.9749228010846684
0001751_key0.0_20,0.9731006238839222
0001751_key0.0_25,0.9742577135289877
0001751_key0.0_30,0.9780707514766
0001751_key0.1_5,0.9959879206212241
0001751_key0.1_10,0.9841542301684609
0001751_key0.1_15,0.9884573778067401
0001751_key0.1_20,0.9878186351773643
0001751_key0.1_25,0.9876788004707167
0001751_key0.1_30,0.9876788004707167
0001751_key0.2_5,0.9959879206212241
0001751_key0.2_10,0.9911631680859506
0001751_key0.2_15,0.9876788004707167
0001751_key0.2_20,0.9994858611825186
0001751_key0.2_25,1.0
0001751_key0.2_30,1.0
0001751_key0.3_5,0.9947287384568204
0001751_key0.3_10,0.98757217840838
0001751_key0.3_15,1.0
0001751_key0.3_20,1.0
0001751_key0.3_25,0.9919866015750259
0001751_key0.3_30,1.0
0001751_key0.4_5,0.9947287384568204
0001751_key0.4_10,0.9994858611825186
0001751_key0.4_15,1.0
0001751_key0.4_20,0.9919866015750259
0001751_key0.4_25,1.0
0001751_key0.4_30,1.0
0001751_key0.5_5,0.9928870780099972
0001751_key0.5_10,1.0
0001751_key0.5_15,0.9919866015750259
0001751_key0.5_20,1.0
0001751_key0.5_25,1.0
0001751_key0.5_30,1.0
0001751_key0.6_5,0.9928870780099972
0001751_key0.6_10,1.0
0001751_key0.6_15,1.0
0001751_key0.6_20,1.0
0001751_key0.6_25,1.0
0001751_key0.6_30,1.0
0001751_key0.7_5,0.9997198879551825
0001751_key0.7_10,1.0
0001751_key0.7_15,1.0
0001751_key0.7_20,1.0
0001751_key0.7_25,1.0
0001751_key0.7_30,1.0
0001751_key0.8_5,0.9997198879551825
0001751_key0.8_10,0.9919866015750259
0001751_key0.8_15,1.0
0001751_key0.8_20,1.0
0001751_key0.8_25,1.0
0001751_key0.8_30,1.0
0001751_key0.9_5,1.0
0001751_key0.9_10,1.0
0001751_key0.9_15,1.0
0001751_key0.9_20,1.0
0001751_key0.9_25,1.0
0001751_key0.9_30,1.0
0002305_key0.0_5,1.0
0002305_key0.0_10,0.9832236842105263
0002305_key0.0_15,1.0
0002305_key0.0_20,1.0
0002305_key0.0_25,1.0
0002305_key0.0_30,1.0
0002305_key0.1_5,1.0
0002305_key0.1_10,0.9832236842105263
0002305_key0.1_15,0.8627002288329505
0002305_key0.1_20,0.8627002288329505
0002305_key0.1_25,0.8627002288329505
0002305_key0.1_30,0.8627002288329505
0002305_key0.2_5,1.0
0002305_key0.2_10,0.8627002288329505
0002305_key0.2_15,1.0
0002305_key0.2_20,0.9298245614035087
0002305_key0.2_25,0.9298245614035087
0002305_key0.2_30,0.9298245614035087
0002305_key0.3_5,0.8496240601503758
0002305_key0.3_10,1.0
