seed_set,mean jaccard
0000088_key0.0_5,0.7968269263539575
0000088_key0.0_10,0.703712255875254
0000088_key0.0_15,0.6591479976818847
0000088_key0.0_20,0.6476919152244474
0000088_key0.0_25,0.6253944355852248
0000088_key0.0_30,0.6113192776674281
0000088_key0.1_5,0.7968269263539575
0000088_key0.1_10,0.703712255875254
0000088_key0.1_15,0.8550439223301634
0000088_key0.1_20,0.860188146882443
0000088_key0.1_25,0.8389836345848134
0000088_key0.1_30,0.8389836345848134
0000088_key0.2_5,0.7968269263539575
0000088_key0.2_10,0.8671169201162356
0000088_key0.2_15,0.7643661236424392
0000088_key0.2_20,0.6506029746193913
0000088_key0.2_25,1.0
0000088_key0.2_30,1.0
0000088_key0.3_5,0.8231025662382483
0000088_key0.3_10,0.7643661236424392
0000088_key0.3_15,1.0
0000088_key0.3_20,1.0
0000088_key0.3_25,1.0
0000088_key0.3_30,1.0
0000088_key0.4_5,0.8231025662382483
0000088_key0.4_10,0.6506029746193913
0000088_key0.4_15,1.0
0000088_key0.4_20,1.0
0000088_key0.4_25,0.9763157894736841
0000088_key0.4_30,0.9447368421052631
0000088_key0.5_5,0.7775804998823164
0000088_key0.5_10,1.0
0000088_key0.5_15,1.0
0000088_key0.5_20,0.9763157894736841
0000088_key0.5_25,0.9368421052631579
0000088_key0.5_30,0.9401315789473684
0000088_key0.6_5,0.7775804998823164
0000088_key0.6_10,1.0
0000088_key0.6_15,1.0
0000088_key0.6_20,0.9368421052631579
0000088_key0.6_25,0.9143796992481208
0000088_key0.6_30,0.9149436090225573
0000088_key0.7_5,0.7024724106303049
0000088_key0.7_10,1.0
0000088_key0.7_15,0.9447368421052631
0000088_key0.7_20,0.9368421052631581
0000088_key0.7_25,0.9083646616541361
0000088_key0.7_30,0.8426065162907272
0000088_key0.8_5,0.7024724106303049
0000088_key0.8_10,1.0
0000088_key0.8_15,0.9348684210526316
0000088_key0.8_20,0.9436090225563921
0000088_key0.8_25,0.8312030075187969
0000088_key0.8_30,0.845012531328321
0000088_key0.9_5,1.0
0000088_key0.9_10,1.0
0000088_key0.9_15,0.9439849624060154
0000088_key0.9_20,0.8073182957393491
0000088_key0.9_25,0.7650375939849621
0000088_key0.9_30,0.7742105263157887
0000248_key0.0_5,0.8184977005620852
0000248_key0.0_10,0.803309948955815
0000248_key0.0_15,0.803309948955815
0000248_key0.0_20,0.803309948955815
0000248_key0.0_25,0.803309948955815
0000248_key0.0_30,0.803309948955815
0000248_key0.1_5,0.8184977005620852
0000248_key0.1_10,0.803309948955815
0000248_key0.1_15,0.803309948955815
0000248_key0.1_20,0.803309948955815
0000248_key0.1_25,0.803309948955815
0000248_key0.1_30,0.803309948955815
0000248_key0.2_5,0.8184977005620852
0000248_key0.2_10,1.0
0000248_key0.2_15,1.0
0000248_key0.2_20,1.0
0000248_key0.2_25,1.0
0000248_key0.2_30,1.0
0000248_key0.3_5,1.0
0000248_key0.3_10,1.0
0000248_key0.3_15,1.0
0000248_key0.3_20,1.0
0000248_key0.3_25,1.0
0000248_key0.3_30,1.0
0000248_key0.4_5,1.0
0000248_key0.4_10,1.0
0000248_key0.4_15,1.0
0000248_key0.4_20,1.0
0000248_key0.4_25,1.0
0000248_key0.4_30,1.0
0000248_key0.5_5,1.0
0000248_key0.5_10,1.0
0000248_key0.5_15,1.0
0000248_key0.5_20,1.0
0000248_key0.5_25,1.0
0000248_key0.5_30,1.0
0000248_key0.6_5,1.0
0000248_key0.6_10,1.0
0000248_key0.6_15,1.0
0000248_key0.6_20,1.0
0000248_key0.6_25,1.0
0000248_key0.6_30,1.0
0000248_key0.7_5,1.0
0000248_key0.7_10,0.8070175438596492
0000248_key0.7_15,0.8070175438596492
0000248_key0.7_20,0.8070175438596492
0000248_key0.7_25,0.8070175438596492
0000248_key0.7_30,0.8070175438596492
0000248_key0.8_5,1.0
0000248_key0.8_10,0.6526315789473679
0000248_key0.8_15,0.6526315789473679
0000248_key0.8_20,0.6526315789473679
0000248_key0.8_25,0.6526315789473679
0000248_key0.8_30,0.6526315789473679
0000248_key0.9_5,1.0
0000248_key0.9_10,0.49473684210526314
0000248_key0.9_15,0.49473684210526314
0000248_key0.9_20,0.49473684210526314
0000248_key0.9_25,0.49473684210526314
0000248_key0.9_30,0.49473684210526314
0000328_key0.0_5,0.7886265709439294
0000328_key0.0_10,0.7792597869364516
0000328_key0.0_15,0.7792597869364516
0000328_key0.0_20,0.7792597869364516
0000328_key0.0_25,0.7792597869364516
0000328_key0.0_30,0.7792597869364516
0000328_key0.1_5,0.7886265709439294
0000328_key0.1_10,0.7792597869364516
0000328_key0.1_15,0.7792597869364516
0000328_key0.1_20,0.7792597869364516
0000328_key0.1_25,0.7792597869364516
0000328_key0.1_30,0.7792597869364516
0000328_key0.2_5,0.7886265709439294
0000328_key0.2_10,0.570064545078958
0000328_key0.2_15,0.570064545078958
0000328_key0.2_20,0.570064545078958
0000328_key0.2_25,0.570064545078958
0000328_key0.2_30,0.570064545078958
0000328_key0.3_5,0.7740690294593364
0000328_key0.3_10,0.7740690294593364
0000328_key0.3_15,0.7740690294593364
0000328_key0.3_20,0.7740690294593364
0000328_key0.3_25,0.7740690294593364
0000328_key0.3_30,0.7740690294593364
0000328_key0.4_5,0.8601503759398491
0000328_key0.4_10,1.0
0000328_key0.4_15,1.0
0000328_key0.4_20,1.0
0000328_key0.4_25,1.0
0000328_key0.4_30,1.0
0000328_key0.5_5,1.0
0000328_key0.5_10,1.0
0000328_key0.5_15,1.0
0000328_key0.5_20,1.0
0000328_key0.5_25,1.0
0000328_key0.5_30,1.0
0000328_key0.6_5,1.0
0000328_key0.6_10,0.8652631578947358
0000328_key0.6_15,0.8652631578947358
0000328_key0.6_20,0.8652631578947358
0000328_key0.6_25,0.8652631578947358
0000328_key0.6_30,0.8652631578947358
0000328_key0.7_5,0.7603508771929832
0000328_key0.7_10,0.6568421052631583
0000328_key0.7_15,0.6568421052631583
0000328_key0.7_20,0.6568421052631583
0000328_key0.7_25,0.6568421052631583
0000328_key0.7_30,0.6568421052631583
0000328_key0.8_5,0.6859649122807022
0000328_key0.8_10,0.5947368421052631
0000328_key0.8_15,0.5947368421052631
0000328_key0.8_20,0.5947368421052631
0000328_key0.8_25,0.5947368421052631
0000328_key0.8_30,0.5947368421052631
0000328_key0.9_5,0.6494736842105265
0000328_key0.9_10,0.6494736842105265
0000328_key0.9_15,0.6494736842105265
0000328_key0.9_20,0.6494736842105265
0000328_key0.9_25,0.6494736842105265
0000328_key0.9_30,0.6494736842105265
0000507_key0.0_5,0.9006500282677806
0000507_key0.0_10,0.8588320419639627
0000507_key0.0_15,0.8557495701965263
0000507_key0.0_20,0.8557495701965263
0000507_key0.0_25,0.8557495701965263
0000507_key0.0_30,0.8557495701965263
0000507_key0.1_5,0.9006500282677806
0000507_key0.1_10,0.8588320419639627
0000507_key0.1_15,0.7181040927081831
0000507_key0.1_20,0.7181040927081831
0000507_key0.1_25,0.7181040927081831
0000507_key0.1_30,0.7181040927081831
0000507_key0.2_5,0.9006500282677806
0000507_key0.2_10,1.0
0000507_key0.2_15,1.0
0000507_key0.2_20,1.0
0000507_key0.2_25,1.0
0000507_key0.2_30,1.0
0000507_key0.3_5,1.0
0000507_key0.3_10,1.0
0000507_key0.3_15,1.0
0000507_key0.3_20,1.0
0000507_key0.3_25,1.0
0000507_key0.3_30,1.0
0000507_key0.4_5,1.0
0000507_key0.4_10,1.0
0000507_key0.4_15,1.0
0000507_key0.4_20,1.0
0000507_key0.4_25,1.0
0000507_key0.4_30,1.0
0000507_key0.5_5,1.0
0000507_key0.5_10,1.0
0000507_key0.5_15,1.0
0000507_key0.5_20,1.0
0000507_key0.5_25,1.0
0000507_key0.5_30,1.0
0000507_key0.6_5,1.0
0000507_key0.6_10,1.0
0000507_key0.6_15,1.0
0000507_key0.6_20,1.0
0000507_key0.6_25,1.0
0000507_key0.6_30,1.0
