seed_set,mean jaccard
0000088_key0.0_5,1.0
0000088_key0.0_10,0.989870903674279
0000088_key0.0_15,0.9523518454275107
0000088_key0.0_20,0.9400372116889784
0000088_key0.0_25,0.9834215850876066
0000088_key0.0_30,0.9750692520775625
0000088_key0.1_5,1.0
0000088_key0.1_10,0.989870903674279
0000088_key0.1_15,0.9776302927406486
0000088_key0.1_20,0.9776302927406486
0000088_key0.1_25,1.0
0000088_key0.1_30,1.0
0000088_key0.2_5,1.0
0000088_key0.2_10,0.9776302927406486
0000088_key0.2_15,1.0
0000088_key0.2_20,1.0
0000088_key0.2_25,1.0
0000088_key0.2_30,1.0
0000088_key0.3_5,0.9745378772602005
0000088_key0.3_10,1.0
0000088_key0.3_15,1.0
0000088_key0.3_20,1.0
0000088_key0.3_25,1.0
0000088_key0.3_30,1.0
0000088_key0.4_5,0.9745378772602005
0000088_key0.4_10,1.0
0000088_key0.4_15,1.0
0000088_key0.4_20,1.0
0000088_key0.4_25,1.0
0000088_key0.4_30,1.0
0000088_key0.5_5,1.0
0000088_key0.5_10,1.0
0000088_key0.5_15,1.0
0000088_key0.5_20,1.0
0000088_key0.5_25,1.0
0000088_key0.5_30,1.0
0000088_key0.6_5,1.0
0000088_key0.6_10,1.0
0000088_key0.6_15,1.0
0000088_key0.6_20,1.0
0000088_key0.6_25,1.0
0000088_key0.6_30,1.0
0000088_key0.7_5,1.0
0000088_key0.7_10,0.9928571428571422
0000088_key0.7_15,1.0
0000088_key0.7_20,1.0
0000088_key0.7_25,1.0
0000088_key0.7_30,1.0
0000088_key0.8_5,1.0
0000088_key0.8_10,1.0
0000088_key0.8_15,1.0
0000088_key0.8_20,1.0
0000088_key0.8_25,0.9731578947368433
0000088_key0.8_30,1.0
0000088_key0.9_5,1.0
0000088_key0.9_10,1.0
0000088_key0.9_15,1.0
0000088_key0.9_20,1.0
0000088_key0.9_25,1.0
0000088_key0.9_30,1.0
0000248_key0.0_5,1.0
0000248_key0.0_10,0.9939393939393938
0000248_key0.0_15,0.9939393939393938
0000248_key0.0_20,0.9939393939393938
0000248_key0.0_25,0.9939393939393938
0000248_key0.0_30,0.9939393939393938
0000248_key0.1_5,1.0
0000248_key0.1_10,0.9939393939393938
0000248_key0.1_15,0.9939393939393938
0000248_key0.1_20,0.9939393939393938
0000248_key0.1_25,0.9939393939393938
