seed_set,mean jaccard
0000088_key0.0_5,1.0
0000088_key0.0_10,0.9609256480744299
0000088_key0.0_15,0.9480586872300656
0000088_key0.0_20,0.9782321023865663
0000088_key0.0_25,0.9774638594919894
0000088_key0.0_30,0.9428242518864167
0000088_key0.1_5,1.0
0000088_key0.1_10,0.9609256480744299
0000088_key0.1_15,0.9761698050110615
0000088_key0.1_20,0.9761698050110615
0000088_key0.1_25,0.9760765550239235
0000088_key0.1_30,0.9760765550239235
0000088_key0.2_5,1.0
0000088_key0.2_10,0.9761698050110615
0000088_key0.2_15,0.9760765550239235
0000088_key0.2_20,1.0
0000088_key0.2_25,0.9865789473684207
0000088_key0.2_30,1.0
0000088_key0.3_5,0.9788316946211674
0000088_key0.3_10,0.9760765550239235
0000088_key0.3_15,0.9865789473684207
0000088_key0.3_20,1.0
0000088_key0.3_25,1.0
0000088_key0.3_30,1.0
0000088_key0.4_5,0.9788316946211674
0000088_key0.4_10,1.0
0000088_key0.4_15,1.0
0000088_key0.4_20,1.0
0000088_key0.4_25,1.0
0000088_key0.4_30,1.0
0000088_key0.5_5,1.0
0000088_key0.5_10,0.9865789473684207
0000088_key0.5_15,1.0
0000088_key0.5_20,1.0
0000088_key0.5_25,1.0
0000088_key0.5_30,1.0
0000088_key0.6_5,1.0
0000088_key0.6_10,1.0
0000088_key0.6_15,1.0
0000088_key0.6_20,1.0
0000088_key0.6_25,1.0
0000088_key0.6_30,1.0
0000088_key0.7_5,1.0
0000088_key0.7_10,0.9808270676691726
0000088_key0.7_15,1.0
0000088_key0.7_20,1.0
0000088_key0.7_25,1.0
0000088_key0.7_30,0.9900000000000001
0000088_key0.8_5,1.0
0000088_key0.8_10,1.0
0000088_key0.8_15,1.0
0000088_key0.8_20,1.0
0000088_key0.8_25,0.9810526315789478
0000088_key0.8_30,1.0
0000088_key0.9_5,0.9858725761772851
0000088_key0.9_10,1.0
0000088_key0.9_15,1.0
0000088_key0.9_20,1.0
0000088_key0.9_25,1.0
0000088_key0.9_30,1.0
0000248_key0.0_5,1.0
0000248_key0.0_10,0.9478947368421049
0000248_key0.0_15,0.9705263157894738
0000248_key0.0_20,0.9600290700962603
0000248_key0.0_25,0.9600290700962603
0000248_key0.0_30,0.9600290700962603
0000248_key0.1_5,1.0
0000248_key0.1_10,0.9478947368421049
0000248_key0.1_15,0.9909774436090222
0000248_key0.1_20,0.9909774436090222
0000248_key0.1_25,0.968822055137845
0000248_key0.1_30,0.968822055137845
0000248_key0.2_5,1.0
0000248_key0.2_10,0.9909774436090222
0000248_key0.2_15,0.8629186602870812
0000248_key0.2_20,0.9874999999999999
0000248_key0.2_25,0.9763157894736841
0000248_key0.2_30,0.9763157894736841
0000248_key0.3_5,1.0
0000248_key0.3_10,0.8629186602870812
0000248_key0.3_15,0.9458646616541351
0000248_key0.3_20,0.9197994987468672
0000248_key0.3_25,0.9666666666666661
0000248_key0.3_30,0.9666666666666661
0000248_key0.4_5,1.0
0000248_key0.4_10,0.9664473684210526
0000248_key0.4_15,0.895639097744361
0000248_key0.4_20,0.975
0000248_key0.4_25,0.975
0000248_key0.4_30,0.975
0000248_key0.5_5,0.8796949760765549
0000248_key0.5_10,0.9458646616541351
0000248_key0.5_15,0.9328947368421052
0000248_key0.5_20,1.0
0000248_key0.5_25,1.0
0000248_key0.5_30,1.0
0000248_key0.6_5,0.8796949760765549
0000248_key0.6_10,0.895639097744361
0000248_key0.6_15,0.9328947368421052
0000248_key0.6_20,1.0
0000248_key0.6_25,1.0
0000248_key0.6_30,1.0
0000248_key0.7_5,0.9664473684210526
0000248_key0.7_10,0.8926315789473679
0000248_key0.7_15,1.0
0000248_key0.7_20,1.0
0000248_key0.7_25,1.0
0000248_key0.7_30,1.0
0000248_key0.8_5,0.9664473684210526
0000248_key0.8_10,0.9328947368421052
0000248_key0.8_15,1.0
0000248_key0.8_20,1.0
0000248_key0.8_25,1.0
0000248_key0.8_30,1.0
0000248_key0.9_5,0.9458646616541351
0000248_key0.9_10,0.9328947368421052
0000248_key0.9_15,1.0
0000248_key0.9_20,1.0
0000248_key0.9_25,1.0
0000248_key0.9_30,1.0
0000328_key0.0_5,0.964839762362981
0000328_key0.0_10,0.9191876424875333
0000328_key0.0_15,0.9638499727720564
0000328_key0.0_20,0.9773133130474236
0000328_key0.0_25,0.9708984665728145
0000328_key0.0_30,0.9691152147018097
0000328_key0.1_5,0.964839762362981
0000328_key0.1_10,0.9191876424875333
0000328_key0.1_15,0.9718683696598875
0000328_key0.1_20,0.9565750793882651
0000328_key0.1_25,1.0
0000328_key0.1_30,1.0
0000328_key0.2_5,0.964839762362981
0000328_key0.2_10,0.9524832481780852
0000328_key0.2_15,1.0
0000328_key0.2_20,1.0
0000328_key0.2_25,0.9933333333333337
0000328_key0.2_30,0.9933333333333335
0000328_key0.3_5,0.9731620829261487
0000328_key0.3_10,1.0
0000328_key0.3_15,0.9933333333333337
0000328_key0.3_20,0.9933333333333335
0000328_key0.3_25,0.9777327935222672
0000328_key0.3_30,0.9916666666666663
0000328_key0.4_5,0.9731620829261487
0000328_key0.4_10,1.0
