paramters,runtime
ROBUST_25_5,8.462493879720569
R-MuST_25_5,43.67217883141711
MuST_25_5,18.599134037271142
ROBUST_25_10,5.971571255009621
R-MuST_25_10,63.30104008410126
MuST_25_10,22.128953555598855
ROBUST_25_15,7.13442123727873
R-MuST_25_15,85.69917036872357
MuST_25_15,37.725484537892044
ROBUST_25_20,8.221200117841363
R-MuST_25_20,108.99685753928497
MuST_25_20,60.29140503099188
ROBUST_25_25,9.59782279888168
R-MuST_25_25,132.39619563799351
MuST_25_25,56.41796516114846
ROBUST_25_30,11.343586478382349
R-MuST_25_30,156.93846689304337
MuST_25_30,55.86509655369446
DOMINO_25_0,76.0547121251002
DIAMOnD_25_0,14.9386270577088
ROBUST_50_5,4.896421127021313
R-MuST_50_5,107.40647768089548
MuST_50_5,54.18855732586235
ROBUST_50_10,6.179995201993734
R-MuST_50_10,192.60434989491478
MuST_50_10,100.96710024029016
ROBUST_50_15,7.571411402896047
R-MuST_50_15,278.0605363571085
MuST_50_15,136.19614380318671
ROBUST_50_20,8.985074247699231
R-MuST_50_20,363.32151428284124
MuST_50_20,225.50230445386842
ROBUST_50_25,10.183811531867832
R-MuST_50_25,452.1067707822658
MuST_50_25,258.6673832810484
ROBUST_50_30,12.048952904064208
R-MuST_50_30,535.5975824710913
MuST_50_30,272.13581002503633
DOMINO_50_0,69.90899069979787
DIAMOnD_50_0,17.063017033971846
ROBUST_75_5,6.118896193802357
R-MuST_75_5,211.14952433807775
MuST_75_5,86.82020654994994
ROBUST_75_10,8.950258359313011
R-MuST_75_10,410.40805172687396
MuST_75_10,193.67851056344807
ROBUST_75_15,11.171726325061172
R-MuST_75_15,602.0880891936831
MuST_75_15,322.7236158293672
ROBUST_75_20,13.743464338127524
R-MuST_75_20,781.2809950681403
MuST_75_20,390.3494054209441
ROBUST_75_25,16.12981162685901
R-MuST_75_25,993.5081620798446
MuST_75_25,494.0979069368914
ROBUST_75_30,18.411484667100012
R-MuST_75_30,1159.6216055410914
