seed_set,mean jaccard
0018894_thr0.1,1.0
0018687_thr0.1,1.0
0018023_thr0.1,1.0
0011399_thr0.1,1.0
0007705_thr0.1,1.0
0010383_thr0.1,0.9625
0001341_thr0.1,1.0
0041052_thr0.1,1.0
0010520_thr0.1,1.0
0009183_thr0.1,1.0
0010297_thr0.1,1.0
0017339_thr0.1,0.8639676113360316
0011812_thr0.1,1.0
0010581_thr0.1,1.0
0010985_thr0.1,0.8332631578947389
0008679_thr0.1,1.0
0010968_thr0.1,1.0
0005229_thr0.1,1.0
0008364_thr0.1,0.8359253233187978
0010180_thr0.1,1.0
0020739_thr0.1,1.0
0013367_thr0.1,1.0
0005893_thr0.1,1.0
0003924_thr0.1,1.0
0007958_thr0.1,1.0
0015691_thr0.1,1.0
0009255_thr0.1,1.0
0012893_thr0.1,1.0
0008519_thr0.1,1.0
0009046_thr0.1,0.6303025365270756
0010735_thr0.1,1.0
0011751_thr0.1,1.0
0001358_thr0.1,1.0
0005595_thr0.1,1.0
0006375_thr0.1,1.0
0020478_thr0.1,1.0
0010655_thr0.1,0.8300751879699244
0015231_thr0.1,0.9065789473684218
0005744_thr0.1,1.0
0019591_thr0.1,1.0
0011966_thr0.1,1.0
0007551_thr0.1,1.0
0017338_thr0.1,1.0
0006846_thr0.1,0.9463157894736853
0007608_thr0.1,1.0
0019349_thr0.1,0.9882352941176465
0010161_thr0.1,1.0
0010269_thr0.1,1.0
0008018_thr0.1,1.0
0011740_thr0.1,1.0
0016281_thr0.1,1.0
0020541_thr0.1,1.0
0008224_thr0.1,1.0
0009657_thr0.1,1.0
0008386_thr0.1,1.0
0016383_thr0.1,1.0
0018882_thr0.1,1.0
0003947_thr0.1,1.0
0013808_thr0.1,1.0
0007522_thr0.1,1.0
0008610_thr0.1,1.0
0009258_thr0.1,1.0
0019618_thr0.1,1.0
0018937_thr0.1,1.0
0005920_thr0.1,1.0
0008621_thr0.1,1.0
0012679_thr0.1,1.0
0012349_thr0.1,1.0
0019557_thr0.1,1.0
0011979_thr0.1,1.0
0015713_thr0.1,1.0
0009182_thr0.1,1.0
0006052_thr0.1,0.9470177483335371
0009292_thr0.1,0.9763157894736858
0017267_thr0.1,1.0
0002249_thr0.1,1.0
0005478_thr0.1,1.0
0018116_thr0.1,1.0
0007572_thr0.1,1.0
0002917_thr0.1,1.0
0006875_thr0.1,1.0
0006523_thr0.1,1.0
0008742_thr0.1,1.0
0019318_thr0.1,1.0
0009656_thr0.1,1.0
0008303_thr0.1,1.0
0024498_thr0.1,1.0
0007324_thr0.1,0.9900277008310246
0011071_thr0.1,1.0
0001703_thr0.1,1.0
0018872_thr0.1,1.0
0006714_thr0.1,0.9537218045112775
0001824_thr0.1,0.8056054471843946
0002010_thr0.1,1.0
0008000_thr0.1,1.0
0008922_thr0.1,1.0
0013792_thr0.1,0.841972355130249
0011612_thr0.1,0.9933333333333333
0019319_thr0.1,1.0
0004247_thr0.1,1.0
0012097_thr0.1,1.0
0005345_thr0.1,1.0
0020381_thr0.1,1.0
0002476_thr0.1,1.0
0002545_thr0.1,1.0
0010799_thr0.1,1.0
0000455_thr0.1,0.8127055007500035
0012740_thr0.1,1.0
0007762_thr0.1,1.0
0008554_thr0.1,1.0
0004741_thr0.1,1.0
0021427_thr0.1,1.0
0007758_thr0.1,1.0
0007451_thr0.1,1.0
0019568_thr0.1,1.0
0009279_thr0.1,1.0
0005152_thr0.1,1.0
0002928_thr0.1,1.0
0013404_thr0.1,0.7876807403123187
0007818_thr0.1,1.0
0019562_thr0.1,0.8879699248120316
0007471_thr0.1,1.0
0010316_thr0.1,1.0
0012156_thr0.1,1.0
