seed_set,mean jaccard
0018894_thr0.1,1.0
0018687_thr0.1,1.0
0018023_thr0.1,1.0
0011399_thr0.1,1.0
0007705_thr0.1,1.0
0010383_thr0.1,1.0
0001341_thr0.1,1.0
0041052_thr0.1,1.0
0010520_thr0.1,1.0
0009183_thr0.1,1.0
0010297_thr0.1,1.0
0017339_thr0.1,1.0
0011812_thr0.1,0.7889396568343942
0010581_thr0.1,1.0
0010985_thr0.1,0.925563909774437
0008679_thr0.1,0.7806499421630995
0010968_thr0.1,1.0
0005229_thr0.1,0.9714285714285716
0008364_thr0.1,0.8722732199752543
0010180_thr0.1,0.9923076923076927
0020739_thr0.1,0.9401315789473684
0013367_thr0.1,1.0
0005893_thr0.1,0.975
0003924_thr0.1,1.0
0007958_thr0.1,0.9400375939849624
0015691_thr0.1,0.9517543859649128
0009255_thr0.1,0.9818181818181815
0012893_thr0.1,0.947894736842107
0008519_thr0.1,1.0
0009046_thr0.1,1.0
0010735_thr0.1,0.9777777777777773
0011751_thr0.1,1.0
0001358_thr0.1,1.0
0005595_thr0.1,1.0
0006375_thr0.1,1.0
0020478_thr0.1,1.0
0010655_thr0.1,0.9846153846153841
0015231_thr0.1,0.8823742793516289
0005744_thr0.1,1.0
0019591_thr0.1,1.0
0011966_thr0.1,0.9777777777777777
0007551_thr0.1,1.0
0017338_thr0.1,1.0
0006846_thr0.1,0.8366212734633791
0007608_thr0.1,1.0
0019349_thr0.1,0.9161364950838644
0010161_thr0.1,0.9561403508771922
0010269_thr0.1,1.0
0008018_thr0.1,1.0
0011740_thr0.1,1.0
0016281_thr0.1,0.985714285714286
0020541_thr0.1,0.9733333333333327
0008224_thr0.1,0.9800000000000005
0009657_thr0.1,1.0
0008386_thr0.1,0.9833333333333338
0016383_thr0.1,1.0
0018882_thr0.1,1.0
0003947_thr0.1,1.0
0013808_thr0.1,1.0
0007522_thr0.1,1.0
0008610_thr0.1,1.0
0009258_thr0.1,1.0
0019618_thr0.1,1.0
0018937_thr0.1,1.0
0005920_thr0.1,0.9250773993808055
0008621_thr0.1,1.0
0012679_thr0.1,0.9157894736842109
0012349_thr0.1,1.0
0019557_thr0.1,0.8210665983845052
0011979_thr0.1,0.9708502024291493
0015713_thr0.1,1.0
0009182_thr0.1,1.0
0006052_thr0.1,0.8589473684210506
0009292_thr0.1,0.9733333333333334
0017267_thr0.1,1.0
0002249_thr0.1,1.0
0005478_thr0.1,1.0
0018116_thr0.1,0.9659489633173842
0007572_thr0.1,1.0
0002917_thr0.1,1.0
0006875_thr0.1,0.9857142857142853
0006523_thr0.1,0.9288663967611336
0008742_thr0.1,0.965550239234449
0019318_thr0.1,0.9777777777777773
0009656_thr0.1,1.0
0008303_thr0.1,0.9555555555555548
0024498_thr0.1,1.0
0007324_thr0.1,0.9399248120300759
0011071_thr0.1,1.0
0001703_thr0.1,1.0
0018872_thr0.1,1.0
0006714_thr0.1,0.8418988648090802
0001824_thr0.1,1.0
0002010_thr0.1,0.985714285714286
0008000_thr0.1,0.9625
0008922_thr0.1,1.0
0013792_thr0.1,0.8905555555555541
0011612_thr0.1,0.950134952766531
0019319_thr0.1,1.0
0004247_thr0.1,1.0
0012097_thr0.1,1.0
0005345_thr0.1,1.0
0020381_thr0.1,0.8315789473684209
0002476_thr0.1,1.0
0002545_thr0.1,0.8842105263157903
0010799_thr0.1,1.0
0000455_thr0.1,0.8766447368421052
0012740_thr0.1,1.0
0007762_thr0.1,0.947631578947368
0008554_thr0.1,0.894736842105264
0004741_thr0.1,0.9517543859649115
0021427_thr0.1,1.0
0007758_thr0.1,0.9833333333333335
0007451_thr0.1,0.935087719298245
0019568_thr0.1,1.0
